Report Year,"State, USA",Population,Violent Crimes,Homicides,Rapes,Assaults,Robberies,Months Reported,Crimes Per Person,Homocides Per Persion,Rapes Per Person,Assaults Per Person,Robberies Per Person,Column1,Column2
1996,"Chicago, IL",2754118,67498,789,2752,37097,26860,12,2451,29,100,1347,975,,
1996,"Cincinnati, OH",360457,3921,32,315,1800,1774,12,1088,9,87,499,492,,
1996,"Cleveland, OH",496049,7631,103,643,2823,4062,12,1538,21,130,569,819,,
1996,"Columbus, OH",640297,6216,89,571,2238,3318,12,971,14,89,350,518,,
1996,"Dallas, TX",1060585,16280,217,740,9201,6122,12,1535,20,70,868,577,,
1996,"Denver, CO",516224,3832,64,358,2083,1327,12,742,12,69,404,257,,
1996,"Detroit, MI",1002299,23239,428,1119,12188,9504,12,2319,43,112,1216,948,,
1996,"El Paso, TX",602951,5138,30,245,3668,1195,12,852,5,41,608,198,,
1996,"Fairfax County, VA",863918,943,14,107,335,487,12,109,2,12,39,56,,
1996,"Fort Worth, TX",470254,4984,68,319,2905,1692,12,1060,14,68,618,360,,
1996,"Fresno, CA",392049,5461,69,216,3089,2087,12,1393,18,55,788,532,,
1996,"Honolulu, HI",878044,2748,27,222,1078,1421,12,313,3,25,123,162,,
1996,"Houston, TX",1772143,22456,261,1002,12917,8276,12,1267,15,57,729,467,,
1996,"Indianapolis, IN",376531,7418,114,424,4280,2600,12,1970,30,113,1137,691,,
1996,"Jacksonville, FL",690367,9765,85,681,6207,2792,12,1414,12,99,899,404,,
1996,"Kansas City, MO",448474,8885,104,412,5488,2881,12,1981,23,92,1224,642,,
1996,"Las Vegas, NV",831303,8409,161,475,4123,3650,12,1012,19,57,496,439,,
1996,"Long Beach, CA",440023,5069,95,158,2385,2431,12,1152,22,36,542,552,,
1996,"Los Angeles County, CA",979425,12772,165,279,9106,3222,12,1304,17,28,930,329,,
1996,"Los Angeles, CA",3498139,62840,711,1463,35477,25189,12,1796,20,42,1014,720,,
1996,"Memphis, TN",631626,12535,161,789,5615,5970,12,1985,25,125,889,945,,
1996,"Mesa, AZ",340818,2459,18,110,1825,506,12,722,5,32,535,148,,
1996,"Miami-Dade County, FL",1116511,19025,135,788,11754,6348,0,1704,12,71,1053,569,,
1996,"Miami, FL",384976,11990,124,201,6526,5139,12,3114,32,52,1695,1335,,
1996,"Milwaukee, WI",627139,5974,130,281,2210,3353,12,953,21,45,352,535,,
1996,"Minneapolis, MN",361595,6808,83,516,2967,3242,12,1883,23,143,821,897,,
1996,"Montgomery County, MD",799302,2165,12,154,1016,983,12,271,2,19,127,123,,
1996,"Nashville, TN",530059,10021,89,487,6535,2910,12,1891,17,92,1233,549,,
1996,"Nassau County, NY",1028175,1835,8,71,921,835,12,178,1,7,90,81,,
1996,"New Orleans, LA",488300,11021,351,390,4580,5700,12,2257,72,80,938,1167,,
1996,"New York City, NY",7339594,98660,983,2332,45673,49672,12,1344,13,32,622,677,,
1996,"Newark, NJ",261909,8761,92,179,4271,4219,12,3345,35,68,1631,1611,,
1996,"Oakland, CA",372145,8168,93,322,4131,3622,12,2195,25,87,1110,973,,
